French
Conversation ID,Entry ID,Actor,Original Text,Translated Text [French],Original Menu,Translated Menu [French],Description
1,0,Player,,,,,
1,1,Robot,Brrrrrt .....,Brrrrrt .....,,,
1,2,Player,Maybe i can find something to repair that robot ?,Peut-être que je peux chercher quelque chose d’utile pour le réparer ?,,,
1,4,Player,Drag and drop the circuit board from the inventory to the robot.,Fais glisser le circuit imprimé depuis l'inventaire vers le robot.,,,
2,0,Player,,,,,
2,1,Player,This circuit board doesn't look too bad.,Ce circuit électronique est en assez bon état.,,,
2,2,Player,I should be able to repair that robot with it.,Je devrais pouvoir remettre le robot en marche avec ça.,,,
2,3,Player,Drag and drop the circuit board from the inventory to the robot.,Fais glisser le circuit imprimé depuis l'inventaire vers le robot.,,,
3,0,Player,,,,,
3,1,Player,The year is 2033,Nous sommes en 2033.,,,
3,2,Player,,,,,
4,0,Player,,,,,
4,18,Player,Yes it fits !,C’est reconnecté !,,,
4,19,Robot,Bip Boup,Bip Boup,,,
4,20,Robot,"Thanks for fixing me, i'm AILA, the Artificial Intelligence Lab Assistance","Merci, ça fait du bien ! Je suis AILA, l'IA d'assistance Labo",,,
4,21,Robot,"You look like you're new, i'll walk you through the lab.","Je suis programmé pour t’épauler dans ta découverte des lieux, dans tes expériences et analyses.",,,
4,22,Robot,"What is this mess ? It's been 10 years at least since the last entry in my log, and the lab is completely ruined !","Oh comme c’est mignooon… Je vais tout faire pour t’aider mais attends, c’est quoi ce foutoir ?",,,
4,23,Robot,"It's going to take me weeks to clean all this up.. Follow me, i'll guide you through the laboratory.","Ça va me prendre des semaines pour tout nettoyer... Suis moi, je vais te montrer le laboratoire.",,,
4,24,Player,No problemo !,"Pas de quoi. A quoi sers-tu, petit robot ?",,,
4,25,Robot,But I didn't ask you your name and what you were doing here?,Mais je ne t’ai pas demandé ton nom et ce que tu faisais là ?,,,
