German
Conversation ID,Entry ID,Actor,Original Text,Translated Text [German],Original Menu,Translated Menu [German],Description
1,0,Player,,,,,
1,1,Robot,Brrrrrt .....,Brrrrrt .....,,,
1,2,Player,Maybe i can find something to repair that robot ?,"Vielleicht kann ich etwas finden, um den Roboter zu reparieren?",,,
1,4,Player,Drag and drop the circuit board from the inventory to the robot.,Nimm die Platine heraus und steck sie in den Roboter.,,,
2,0,Player,,,,,
2,1,Player,This circuit board doesn't look too bad.,Diese Platine sieht gar nicht so schlecht aus.,,,
2,2,Player,I should be able to repair that robot with it.,Damit sollte ich den Roboter reparieren können.,,,
2,3,Player,Drag and drop the circuit board from the inventory to the robot.,Nimm die Platine heraus und steck sie in den Roboter.,,,
3,0,Player,,,,,
3,1,Player,The year is 2033,Wir schreiben das Jahr 2033.,,,
3,2,Player,,,,,
4,0,Player,,,,,
4,18,Player,Yes it fits !,"Ja, das passt!",,,
4,19,Robot,Bip Boup,Bip Boup,,,
4,20,Robot,"Thanks for fixing me, i'm AILA, the Artificial Intelligence Lab Assistance","Danke, dass du mich repariert hast, ich bin AILA, die Artificial Intelligence Lab Assistance.",,,
4,21,Robot,"You look like you're new, i'll walk you through the lab.","Du siehst aus als wärst du neu hier, ich führe dich durch das Labor.",,,
4,22,Robot,"What is this mess ? It's been 10 years at least since the last entry in my log, and the lab is completely ruined !",Was ist das für ein Chaos? Es sind mindestens 10 Jahre seit dem letzten Eintrag in meinem Logbuch vergangen und das Labor ist völlig zerstört!,,,
4,23,Robot,"It's going to take me weeks to clean all this up.. Follow me, i'll guide you through the laboratory.","Ich werde Wochen brauchen, um das alles aufzuräumen. Komm mit, ich führe dich durch das Labor.",,,
4,24,Player,No problemo !,Kein Problem!,,,
4,25,Robot,But I didn't ask you your name and what you were doing here?,Aber ich habe dich gar nicht gefragt wie du heißt und was du hier machst?,,,
