Key,Dutch(nl),English(en),French(fr),German(de)
Menu_Tab_Home,THUIS,HOME,ACCUEIL,STARTSEITE
Menu_Tab_Settings,INSTELLINGEN,SETTINGS,PARAMÈTRES,EINSTELLUNGEN
Menu_Tab_Selection,SCENARIO SELECTIE,SCENARIO SELECTION,SÉLECTION DU SCÉNARIO,SCENARIO-AUSWAHL
Menu_Label_Quit,AFSLUITEN,QUIT,QUITTER,BEENDEN
Menu_Label_Credits,CREDITS,CREDITS,CRÉDITS,IMPRESSUM
Menu_Label_Language,TAAL,LANGUAGE,LANGAGE,SPRACHE
Menu_Label_Tutorial,TUTORIAL LADEN,LOAD TUTORIAL,LANCER TUTORIEL,TUTORIAL LADEN
Menu_Label_Continue,SCENARIO HERVATTEN,RESUME SCENARIO,REPRENDRE SCÉNARIO,SCENARIO FORTSETZEN
Menu_Selection_Prologue,Proloog,Prologue,Prologue,Prolog
Menu_Selection_Tutorial,Tutorial,Tutorial,Tutoriel,Tutorial
Menu_Selection_Introduction,Inleiding,Introduction,Introduction,Einführung
Menu_Selection_FirstCase,Eerste Zaak,First Case,Premier Cas,Erster Fall
Menu_Selection_SecondCase,Tweede Zaak,Second Case,Deuxième Cas,Zweiter Fall
Menu_Selection_ThirdCase,Derde Zaak,Third Case,Troisième Cas,Dritter Fall
Menu_Selection_Epilogue,Epiloog,Epilogue,Épilogue,Epilog
Tooltip_Roomtemp_Fridge_Header,Archiefkast op kamertemperatuur,Archive cabinet at room temperature,Armoire d'archives à température ambiante,Archivschrank bei Raumtemperatur
Tooltip_Roomtemp_Fridge_Content,Archivering van monsters tot 8 uur na verzameling,Archiving of blood samples up to 8 hours after collection,Archivage des échantillons jusqu'à 8 heures après prélèvement,Archivierung der Proben bis zu 8 Stunden nach der Entnahme
Tooltip_Cold_Fridge_Header,Archiefkast tussen 2 en 8°C ,Archive cabinet between 2 and 8°C ,Armoire d'archives entre 2 et 8°C ,Archivschrank zwischen 2 und 8°C 
Tooltip_Cold_Fridge_Content,Opslag van controlemonsters,Storage of control samples,Stockage d'échantillons de contrôle,Lagerung von Kontrollproben
Tooltip_Slides_Storage_Header,"Kamer temperatuur schap ","Room temperature shelf ","Étagère à température ambiante ","Regal bei Raumtemperatur "
Tooltip_Slides_Storage_Content,Archivering van gekleurde bloeduitstrijkjes tot 7 dagen na de kleuring,Archiving of stained blood smears up to 7 days after staining,Archivage des frottis sanguins colorés jusqu'à 7 jours après la coloration,Archivierung von gefärbten Blutausstrichen bis zu 7 Tage nach der Färbung
FirstCase_Scanner_ID,Monster-ID: 210432863,Sample ID: 210432863,N° échantillon: 210432863,Proben ID: 210432863
FirstCase_Scanner_Dem,Demografie: Man 35 jaar oud,Demographic: Male 35 y/o,Données personnelles: Homme 35 ans,Persönliche Daten: Männlich 35 Jahre
FirstCase_Scanner_Request_Title,Aangevraagde analyse:,Requested analysis: ,Analyse demandée: ,Angeforderte Analyse:
FirstCase_Scanner_Request_Content,Hematologie CBC,Hematology CBC,Hématologie CBC,Hämatologie CBC (Blutbild)
SecondCase_Scanner_ID,Voorbeeld-ID: 230345781,Sample ID: 230345781,N° échantillon: 230345781,Proben ID: 230345781
SecondCase_Scanner_Dem,"Demografie: Man, 25 jaar oud","Demographic: Male, 25 y/o","Données démographiques: Homme, 25 ans","Persönliche Daten: Männlich, 25 Jahre"
SecondCase_Scanner_Request_Title,Aangevraagde analyse:,Requested analysis: ,Analyse demandée: ,Angeforderte Analyse:
SecondCase_Scanner_Request_Content,Hematologie CBC,Hematology CBC,Hématologie CBC,Hämatologie CBC (Blutbild)
ThirdCase_Scanner_ID,Voorbeeld-ID: 220689321,Sample ID: 220689321,N° échantillon: 210432863,Proben ID: 220689321
ThirdCase_Scanner_Dem,"Demografie: Vrouw, 23 jaar oud","Demographic: Female, 23 y/o","Données démographiques: Femme, 23 ans","Persönliche Daten: Weiblich, 23 Jahre"
ThirdCase_Scanner_Request_Title,Aangevraagde analyse:,Requested analysis: ,Analyse demandée: ,Angeforderte Analyse:
ThirdCase_Scanner_Request_Content,Hematologie CBC,Hematology CBC,Hématologie CBC,Hämatologie CBC (Blutbild)
Inventory_Action_Mix,voorzichtig zwenken,Mix gently,Remuer doucement,vorsichtig schwenken 
Inventory_Action_Shake,krachtig schudden,Shake,Secouer,kräftig schütteln 
Codex_Content_Anemia,"Volgens de Wereldgezondheidsorganisatie wordt bloedarmoede gedefinieerd als een afname van de hemoglobineconcentratie (HB). In dit geval kunt u een afname van hemoglobine,  het aantal rode bloedcellen (RBC) en hematocriet (HCT) waarnemen.","According to the definition of the World Health Organisation (WHO) anemia is defined as a lack of hemoglobin. In this case, you can see a decrease in hemoglobin concentration (HB), then in RBC count and hematocrit (HCT).","Selon l'Organisation Mondiale de la Santé (OMS), l'anémie est définie  comme une diminution de la concentration en hémoglobine (HB). Dans ce cas, vous pouvez observer une diminution del'hémoglobine, nombre de Globules rouges (RBC) et d'hématocrite (HCT).","Definition der Anämie lt. Weltgesundheits-Organisation (WHO): Als Anämie wird eine Hämoglobinverminderung unterhalb des Normbereichs bezeichnet. In diesem Fall kann eine Abnahme des Hämoglobins, der Anzahl roter Blutkörperchen (RBC) und des Hämatokrits (HCT) beobachtet werden."
Codex_Content_Diabetes,"Diabetes wordt gekenmerkt door chronische hyperglykemie, oftewel een te hoog glucosegehalte in het bloed (bloedsuiker). Deze ziekte ontstaat wanneer de alvleesklier niet genoeg insuline produceert of wanneer het lichaam de geproduceerde insuline niet goed kan verwerken. De glucosespiegel wordt in eerste instantie gemeten in het bloed, maar er kan ook een urinetest worden uitgevoerd om de aanwezigheid van glucose (GLU) te detecteren. Normaal gesproken zou er geen glucose in de urine aanwezig moeten zijn. De aanwezigheid van glucose (GLU) in de urine kan een teken zijn van verschillende ziekten, waaronder diabetes.","Diabetes is characterised by chronic hyperglycaemia, i.e. too much glucose in the blood (blood sugar). This disease occurs when the pancreas does not produce enough insulin or the body does not use the insulin it produces properly. Glucose levels are first measured in the blood, but a urine test can be performed to detect the presence of glucose (GLU), urine normally should not contain any trace of glucose. The presence of glucose (GLU) in the urine can be a sign of several pathologies including diabetes.","Le diabète se caractérise par une hyperglycémie chronique, c'est-à-dire un taux de glucose dans le sang (glycémie) trop élevé. Cette maladie survient lorsque le pancréas ne produit pas suffisamment d'insuline ou que l'organisme n'utilise pas correctement l'insuline qu'il produit. Le taux de glucose (GLU) est d'abord dosé au niveau sanguin mais un test urinaire peut être réalisé pour détecter sa présence. La présence de glucose (GLU)  dans les urines peut être le signe de plusieurs pathologies, dont le diabète.","Diabetes ist gekennzeichnet durch eine chronische Hyperglykämie, d. h. einen zu hohen Glukosegehalt im Blut (Blutzucker). Dies entsteht, wenn die Bauchspeicheldrüse nicht genügend Insulin produziert oder der Körper das produzierte Insulin nicht richtig verwertet. Der Glukosespiegel wird zunächst im Blut gemessen, doch kann auch ein Urintest durchgeführt werden, um das Vorhandensein von Glukose (GLU) festzustellen. Im Urin sollte normalerweise keine Glukose enthalten sein. Der Nachweis von Glukose (GLU) im Urin kann  ein Anzeichen für Diabetes sein."
